Id,BIRTHDATE,DEATHDATE,SSN,DRIVERS,PASSPORT,PREFIX,FIRST,LAST,SUFFIX,MAIDEN,MARITAL,RACE,ETHNICITY,GENDER,BIRTHPLACE,ADDRESS,CITY,STATE,COUNTY,ZIP,LAT,LON,HEALTHCARE_EXPENSES,HEALTHCARE_COVERAGE
2fdf4c8e-9f65-4c0a-b11a-6b58d0e256e5,2015-11-30,,999-52-7229,,,,Lottie401,Wilderman619,,,,white,nonhispanic,F,Falmouth  Massachusetts  US,378 Cruickshank Station Unit 73,New Bedford,Massachusetts,Bristol County,02743,41.66604505625535,-71.05923155499597,110065.0,1743.24
627c3d1c-c265-4cfe-b7f1-0ef820e2ccb8,1964-10-08,,999-86-3173,S99946161,X77458039X,Mrs.,In373,Johnson679,,Donnelly343,M,white,nonhispanic,F,Somerville  Massachusetts  US,875 Corwin Club Apt 28,Salem,Massachusetts,Essex County,,42.42602250712113,-70.89318833048664,1411531.05,4712.92
56bd786e-bf6e-45f7-8c3f-5af3f4a01222,1994-06-26,,999-14-6356,S99939257,X87814724X,Ms.,Stacie105,Stracke611,,,,white,nonhispanic,F,Lowell  Massachusetts  US,147 Cormier Village,Worcester,Massachusetts,Worcester County,01602,42.23385699786691,-71.79788203561654,629498.99,4371.28
bd43063a-1e7d-45f7-bad3-e5f6f9c08158,1978-11-19,,999-73-3581,S99986409,X71350329X,Mrs.,Lidia103,Nikolaus26,,Volkman526,M,black,nonhispanic,F,Pembroke  Massachusetts  US,269 Kutch Crossing,Wenham,Massachusetts,Essex County,,42.560555208585754,-70.91473391915596,954550.5599999999,6056.919999999999
d1bcd3e5-60a9-41d6-835b-96d2ff69b1a1,1951-05-12,2019-01-19,999-94-5218,S99946283,X61937368X,Mrs.,Kristle148,Reichel38,,Aufderhar910,M,white,nonhispanic,F,Wilbraham  Massachusetts  US,565 Windler Ranch Suite 46,Amherst,Massachusetts,Hampshire County,,42.321292007620066,-72.49421006187897,1521812.07,8329.83
7bf3eeb6-e466-40a4-a73c-4552273473e7,1992-08-10,,999-30-6841,S99949823,X43337092X,Mrs.,Darleen361,Maggio310,,MacGyver246,M,white,nonhispanic,F,Brockton  Massachusetts  US,780 Metz Lock Unit 43,Pittsfield,Massachusetts,Berkshire County,01201,42.464602119260455,-73.29730609590253,581270.39,6355.079999999998
e2ef0046-70b1-4472-bae9-2decabf6a949,1951-03-03,,999-32-1438,S99924361,X4002745X,Mrs.,Valda518,Mohr916,,Oberbrunner298,M,white,nonhispanic,F,Lynnfield  Massachusetts  US,1023 Olson Estate,Cambridge,Massachusetts,Middlesex County,02139,42.41846571756535,-71.12937459897782,1588365.73,11733.839999999998
7368ab25-7cb8-48ee-88b9-063214413aa0,2019-06-29,,999-93-5055,,,,Dean966,Berge125,,,,asian,nonhispanic,F,Belmont  Massachusetts  US,849 Veum Gate Apt 78,Fall River,Massachusetts,Bristol County,02724,41.700603563845505,-71.17873355170708,26824.83,645.8
06553cce-8c9f-46ba-9bf7-881189ccb0e1,1973-03-25,,999-52-5276,S99979667,X20580743X,Mrs.,Zada604,Mohr916,,Bradtke547,M,white,nonhispanic,F,Cambridge  Massachusetts  US,890 Ernser Overpass,Bolton,Massachusetts,Worcester County,,42.409954290605384,-71.57561443679154,1089800.34,4952.839999999999
52aaf983-eb76-43c5-931e-a6f8247a9b5a,2015-06-05,,999-17-6151,,,,Frankie174,Reilly981,,,,white,nonhispanic,F,Norton  Massachusetts  US,1033 Carter Bay,Littleton,Massachusetts,Middlesex County,,42.53279115390141,-71.47762152973952,128160.0,1877.3999999999999
ed7ece3e-2617-493f-b512-7e46fff043d5,1996-09-04,,999-74-4087,S99969742,X43009394X,Ms.,Micah422,Abernathy524,,,,native,nonhispanic,F,Medford  Massachusetts  US,160 Heidenreich Knoll,Palmer,Massachusetts,Hampden County,,42.17918126826505,-72.31133126218562,75308.93,6974.2699999999995
97d47962-3547-4653-9a8d-5bf850330862,1959-10-15,,999-98-4415,S99970713,X85582558X,Mrs.,Cleta89,Schmeler639,,Ferry570,M,white,nonhispanic,F,Braga  Minho  PT,861 Yundt Estate Suite 85,Gloucester,Massachusetts,Essex County,,42.57357494028299,-70.67046423042017,1273184.45,14506.289999999999
7658ee34-d3be-436b-aaff-cd2dfa7ed107,1974-12-21,,999-67-5682,S99997591,X52397769X,Mrs.,Randa356,Huels583,,Ortiz186,M,white,nonhispanic,F,Webster  Massachusetts  US,997 MacGyver Mews Apt 37,Pittsfield,Massachusetts,Berkshire County,01201,42.45919352136805,-73.27547175696864,837154.85,10584.429999999998
5e0f5094-4719-484d-99d1-b148bb034ee5,1998-03-28,,999-15-6026,S99912977,X75387627X,Ms.,Yvonne357,Luettgen772,,,,white,nonhispanic,F,Pittsfield  Massachusetts  US,882 Schumm Stravenue,Somerville,Massachusetts,Middlesex County,02155,42.42698771559523,-71.10912801337798,493997.0,5231.199999999999
b4ce351f-fca5-4fc3-9434-17f76e11e706,1925-12-21,,999-81-1981,S99926972,X89180764X,Ms.,Rhonda22,Boehm581,,,S,white,nonhispanic,F,Framingham  Massachusetts  US,889 Murray Grove,Foxborough,Massachusetts,Norfolk County,02035,42.01141630871075,-71.29030885503393,1530502.41,26770.94
956ad9ae-e0fa-4524-bda2-f81658c23f5c,1951-05-12,,999-69-5119,S99984830,X40989022X,Mrs.,Avril120,Gottlieb798,,Simonis280,M,white,nonhispanic,F,Winthrop  Massachusetts  US,607 Halvorson Mews,Amherst,Massachusetts,Hampshire County,,42.374741254318174,-72.54900670232054,1490943.72,27022.479999999996
73468bb7-5113-4169-9233-9b75bf1c1b3b,1985-11-25,,999-73-3030,S99951214,X6705812X,Mrs.,Anastasia959,Boyer713,,Stamm704,M,white,nonhispanic,F,Boston  Massachusetts  US,918 Schinner Skyway,Easton,Massachusetts,Bristol County,,42.004304194973564,-71.08229634439184,109957.3,7954.199999999999
7a6a3e18-935d-4cf9-a3d0-30325dd8a773,2003-05-16,,999-13-6796,S99990256,,,Laura391,Salazar800,,,,white,hispanic,F,Caguas  Puerto Rico  PR,276 Koss Plaza,Boston,Massachusetts,Suffolk County,02122,42.38827192647886,-71.12099508926978,434642.5,3182.2799999999997
006e3603-654f-4b62-9ea2-829f3614c13f,1943-01-27,,999-72-4401,S99923260,X76788057X,Mrs.,Penney623,Hoppe518,,Barrows492,M,white,nonhispanic,F,Milton  Massachusetts  US,1051 Streich Approach,Newton,Massachusetts,Middlesex County,02466,42.31364826249422,-71.2516328439702,1397477.08,148230.27999999997
db2e5644-31c5-4cb8-9855-11ebd04a4b58,1983-05-01,,999-77-4585,S99913624,X67632933X,Mrs.,Shelba765,Purdy2,,Tremblay80,M,white,nonhispanic,F,Gloucester  Massachusetts  US,503 Crist Bridge,Shelburne,Massachusetts,Franklin County,,42.56939555725258,-72.65999567876294,868095.87,7017.6799999999985
5174cb6d-886e-4067-884c-8f61d7595bd2,1949-11-29,,999-75-3545,S99948407,X75391361X,Mrs.,Necole468,Langworth352,,Nikolaus26,M,white,nonhispanic,F,Rehoboth  Massachusetts  US,640 Stroman Meadow Suite 65,Franklin,Massachusetts,Norfolk County,,42.0911126684198,-71.43372570600415,1411076.96,12213.05
7857373b-ad38-430c-bb39-6dd3ae6c94e2,1939-10-03,2006-04-26,999-88-8890,S99977272,X1082698X,Mrs.,Victoria535,Merino448,,Angulo494,M,black,hispanic,F,San Juan  Puerto Rico  PR,1052 O'Conner Ferry Unit 81,Holden,Massachusetts,Worcester County,,42.39697981103817,-71.9054830168989,1528839.0,22920.019999999997
680e3323-eee0-4838-a9cf-7d0268bb00f3,1975-12-31,,999-45-1805,S99955772,X68328997X,Mrs.,Vennie613,Huels583,,Hoppe518,M,white,nonhispanic,F,Lynn  Massachusetts  US,1085 Kirlin Lock Suite 42,Hubbardston,Massachusetts,Worcester County,,42.44288551328609,-71.98312783803502,906290.9,13601.71
c3ffc5b9-f717-4a09-b0cc-6862b267aae7,1986-08-15,,999-13-6706,S99949256,X9747644X,Mrs.,Lavonna163,Wiza601,,O'Reilly797,M,white,nonhispanic,F,Peabody  Massachusetts  US,653 Dietrich Extension Suite 88,Lee,Massachusetts,Berkshire County,,42.321973115108165,-73.19278247318789,718949.73,11634.319999999998
c09cfa9f-1302-4ff5-8162-e684848816b2,1962-06-04,,999-23-5946,S99952391,X23055806X,Mrs.,Dania217,Jacobs452,,Carter549,M,asian,nonhispanic,F,Beijing  Beijing Municipality  CN,117 Abernathy Ville,Milton,Massachusetts,Norfolk County,,42.26043723056556,-71.07353908007725,1382336.04,6455.24
6aab4144-2243-4e64-a035-3f75f8257fd1,1953-05-22,,999-79-6020,S99968161,X45147164X,Mrs.,Rosann381,Johns824,,Gusikowski974,M,white,nonhispanic,F,Duxbury  Massachusetts  US,822 Leuschke Trailer Unit 11,Acton,Massachusetts,Middlesex County,,42.52224705260676,-71.46695095286499,1522745.97,13696.55
9a030c29-d613-432b-89c9-33ea6eeaab2c,1951-08-27,,999-80-1084,S99919003,X5583737X,Mrs.,Asley870,Robel940,,Schowalter414,M,asian,nonhispanic,F,Hanoi  Hà Đông  VN,918 Schumm Terrace,Lowell,Massachusetts,Middlesex County,01854,42.676157895310524,-71.32804596574007,1331782.08,13402.779999999999
63397aa7-d2d0-42ad-bff0-2ec726b401db,1987-09-19,,999-98-5553,S99973920,X2517433X,Mrs.,Meridith488,Reynolds644,,Bode78,M,white,nonhispanic,F,Swansea  Massachusetts  US,276 Pfannerstill Promenade Suite 40,Lynn,Massachusetts,Essex County,01906,42.511516944871516,-70.9387705922976,756517.36,4422.08
b3aab301-f72c-4a2a-83a9-a75fc379b08c,1978-05-16,,999-86-1331,S99915227,X62510371X,Ms.,Robbyn526,Wilkinson796,,,S,white,nonhispanic,F,Marlborough  Massachusetts  US,301 Gaylord Bay Unit 30,Weymouth,Massachusetts,Norfolk County,02189,42.208258962986775,-70.93145509888528,816379.26,18153.28
99e85f92-6610-49c8-938c-36c6d3a3295d,1991-01-10,,999-24-3470,S99923966,X61020946X,Mrs.,Della552,Klein929,,Schroeder447,M,black,nonhispanic,F,Wellesley  Massachusetts  US,1073 Gusikowski Flat Apt 54,Boston,Massachusetts,Suffolk County,02129,42.34669249640557,-71.14462009077504,43237.299999999996,344.12
ea95ceba-8ec7-424e-b95b-21903efa4257,2016-05-26,,999-39-7014,,,,Arcelia945,Corwin846,,,,white,nonhispanic,F,Hopkinton  Massachusetts  US,302 Will Manor Apt 21,Somerville,Massachusetts,Middlesex County,02140,42.430426122479105,-71.15361837943509,86414.07,2367.3199999999997
6859815f-745d-43b6-9dd5-c8f62ee7e5cc,1999-10-31,,999-42-3961,S99955096,X68971092X,Ms.,Kiersten731,Kassulke119,,,,white,nonhispanic,F,Boston  Massachusetts  US,221 Block Promenade Suite 72,Worcester,Massachusetts,Worcester County,01603,42.4079119742315,-71.76784987301396,67730.48,9064.59
446e6d59-e4a1-4299-a96d-0d6bc8ba966f,1991-02-06,,999-34-3925,S99947676,X80399761X,Mrs.,Clarinda196,Heidenreich818,,Heaney114,M,white,nonhispanic,F,Springfield  Massachusetts  US,317 O'Conner Ranch,Reading,Massachusetts,Middlesex County,01801,42.54799623973384,-71.06233732573791,31184.46,1987.3199999999995
